	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	rms_epoch	glon	glat	flags	nimaflags	ngood	ngood_min	nch_max	density	u_flags	u_nimaflags	u_ngood	u_nch	u_nclip	v_flags	v_nimaflags	v_ngood	v_nch	v_nclip	g_flags	g_nimaflags	g_ngood	g_nch	g_nclip	r_flags	r_nimaflags	r_ngood	r_nch	r_nclip	i_flags	i_nimaflags	i_ngood	i_nch	i_nclip	z_flags	z_nimaflags	z_ngood	z_nch	z_nclip	class_star	flags_psf	radius_petro	u_psf	e_u_psf	u_rchi2var	u_petro	e_u_petro	v_psf	e_v_psf	v_rchi2var	v_petro	e_v_petro	g_psf	e_g_psf	g_rchi2var	g_petro	e_g_petro	r_psf	e_r_psf	r_rchi2var	r_petro	e_r_petro	i_psf	e_i_psf	i_rchi2var	i_petro	e_i_petro	z_psf	e_z_psf	z_rchi2var	z_petro	e_z_petro	ebmv_sfd	prox	prox_id	dr1_id	dr1_dist	twomass_key	twomass_dist	allwise_cntr	allwise_dist	ucac4_mpos	ucac4_dist	refcat2_id	refcat2_dist	ps1_dr1_id	ps1_dr1_dist	galex_guv_id	galex_guv_dist	gaia_dr2_id1	gaia_dr2_dist1	gaia_dr2_id2	gaia_dr2_dist2
☄	177.66	406593223	218.616153	-78.143171	40	36	143427.87-780835.4	57111.8594	148.8395	308.2711	-16.35332	0	0	5	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	3	1	0	0.36	0	8.14																					18.1743	0.082	0.077	17.5345	0.0635	17.899	0.0638	0.847	17.3005	0.0821	0.1232	14.4	406586268	246426316	0.05			2160078801351053997	0.17									5785770720987614720	11.58		
☄	177.7	406593203	218.683402	-78.131781	36	36	143444.01-780754.4	57199.427	0.0	308.28906	-16.348476	0	0	1	1	1	5.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.504	0	10.56																					19.4154	0.0454	0.0	18.9912	0.1463						0.1232	10.2	406593220	246426314	10.41	888892597	10.25	2160078801351054090	2.96			282451112	10.32					5785770755349619328	0.15	5785770755349617792	10.32
☄	178.18	406586044	218.317822	-78.067833	21	47	143316.27-780404.1	57324.2871	212.2182	308.24387	-16.259653	0	0	5	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	3	1	0	0.901	0	5.61																					18.3459	0.0135	1.579	18.4725	0.0487	17.7911	0.0336	5.552	17.9323	0.1305	0.1181	15.0				1203886271	0.46	2160078801351054423	0.31			534214769	0.24					5785783464151156736	0.24	5785783842108281472	9.27
☄	178.75	406586028	218.478934	-78.050537	37	25	143354.94-780301.9	57314.1789	373.4349	308.2829	-16.257122	2	1	11	1	1	3.0	0	1	2	1	0	0	0	2	1	0	0	0	1	1	0	0	0	1	1	0	2	0	2	1	0	0	0	3	1	0	0.984	0	5.66	16.7375	0.0107	0.026	16.8763	0.1177	16.4232	0.0212	2.593	16.3195	0.0788	14.5195	0.0105	0.0	14.5397	0.0172	14.0077	0.0105	0.0	14.0074	0.0142	13.5893	0.0077	1.074	13.6074	0.0079	13.4205	0.0068	1.165	13.4385	0.0227	0.1181	10.4	406586030	246421236	0.09	1203886203	0.41	2160078801351053520	0.09	2865300	0.44	44059693	0.11					5785783777690483072	0.11	5785783773388815232	10.37
☄	179.17	406586457	218.426485	-78.147413	26	23	143342.35-780850.6	57213.2972	127.2574	308.23215	-16.341555	0	5	29	4	1	2.0	0	0	5	1	0	0	0	5	1	0	0	0	4	1	0	0	0	5	1	0	0	3	5	1	0	0	2	5	1	1	0.988	0	4.37	15.3638	0.0164	9.622	15.342	0.0453	14.9539	0.0129	6.744	14.9692	0.0254	14.0111	0.0054	0.294	14.014	0.007	13.7792	0.0056	1.38	13.7896	0.0073	13.632	0.0047	0.299	13.6473	0.0053	13.5957	0.0061	2.765	13.6102	0.0204	0.1232	12.5	406586458	246421543	0.03	1203886535	0.09	2160078801351053561	0.0	2831837	0.13	44059655	0.12					5785782128423018368	0.12	5785782128417967360	6.48
☄	179.55	406586041	218.378869	-78.056855	62	32	143330.92-780324.6	57199.4305	0.001	308.2605	-16.254623	0	0	2	1	1	3.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.68	0	7.26																					18.4859	0.0121	0.0	18.4346	0.0894	18.1808	0.0286	0.0	18.5445	0.1886	0.1181	8.0	406586040	246421247	0.15	1203886225	12.39	2160078801351054790	0.38			534214874	0.21					5785783876468031232	0.21	5785783876468030976	7.77
☄	179.79	406593219	218.673154	-78.134973	26	44	143441.55-780805.9	57370.2574	169.0082	308.28574	-16.350544	0	0	16	3	1	3.0			0		0			0		0	0	0	3	1	0	0	0	4	1	0	0	0	4	1	1	0	0	5	1	0	0.981	0	7.26											17.5295	0.024	2.277	17.7217	0.1308	17.1784	0.0306	12.926	17.0976	0.0972	16.9797	0.0133	12.201	17.0226	0.0216	16.9285	0.0198	8.767	17.0135	0.04	0.1232	13.1	406593220	246426313	0.06	888892601	0.22	2160078801351054351	0.41			282451099	0.14					5785770751047866368	0.14	5785770755349617792	12.26
☄	180.52	406586312	218.25686	-78.101045	19	30	143301.64-780603.7	57225.894	410.2094	308.21808	-16.285109	0	0	11	1	1	4.0			0		0			0		0			0		0	0	0	1	1	0	0	0	5	1	0	0	0	5	1	0	0.981	0	7.7																17.8757	0.0287	0.0	18.1295	0.213	17.2467	0.0081	1.734	17.2545	0.0329	16.9486	0.0134	5.918	16.9497	0.0348	0.1232	7.9	406586311	246421435	0.05	1203886385	0.11	2160078801351056566	0.03			282450590	0.14					5785783223632957696	0.14	5785783326711643776	7.98
☄	180.68	406586430	218.299806	-78.128614	36	36	143311.95-780743.0	57199.427	0.0	308.2151	-16.313921	0	0	1	1	1	2.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.555	0	7.92																					19.077	0.0199	0.0	19.2186	0.165						0.1232	12.3	406586431	246421524	12.3	1203886482	12.29	2160078801351056376	12.49			849011849	0.17					5785783051834231936	0.17	5785783056135962752	12.49
☄	181.1	406586339	218.28429	-78.123578	47	46	143308.22-780724.8	57128.8235	120.0061	308.2141	-16.30803	0	0	5	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	3	1	0	0.736	0	7.97																					18.7359	0.0182	1.483	18.8027	0.1205	18.0152	0.0618	36.648	18.163	0.0827	0.1232	12.7	406586338	246421458	0.21	1203886458	0.16	2160078801351057180	0.04			534214703	0.15					5785783051834238720	0.15	5785783056136395648	7.48
