,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,513.17,461841620,177.632224,-84.644637,19,54,115031.73-843840.6,57291.2538,0,0,14,1,1,0.979,,,,,,,,,,,,,18.5792,0.0109,18.5555,0.0556,17.4141,0.0133,17.4688,0.0327,17.0012,0.0234,17.0666,0.0283,12.6,461841619
☄,513.39,461842414,176.007354,-84.684914,20,37,114401.76-844105.6,57663.0765,3,0,4,2,1,0.918,,,,,,,,,,,,,,,,,18.3517,0.01,18.3729,0.0633,18.1912,0.0253,17.9068,0.1053,6.5,461842413
☄,513.8,461842266,176.792172,-84.690069,36,36,114710.12-844124.2,57448.6732,0,0,1,1,1,0.432,,,,,,,,,,,,,,,,,19.353,0.0328,19.6825,0.1733,,,,,9.8,461842329
☄,513.93,461798604,176.062427,-84.413582,52,75,114414.98-842448.8,57331.3175,0,0,7,1,1,0.982,,,,,,,,,,,,,17.428,0.0183,17.4072,0.1323,16.7776,0.0105,16.8384,0.0171,16.5282,0.0149,16.5891,0.0246,15,
☄,514.04,461842341,176.515534,-84.692782,32,29,114603.72-844134.0,57442.976,0,0,11,1,1,0.978,,,,,,,,,,,,,18.0826,0.0118,18.1818,0.0451,17.4465,0.0081,17.5091,0.0227,17.2163,0.0124,17.2562,0.0566,8.6,461842342
☄,514.37,461842459,176.287891,-84.691489,51,43,114509.09-844129.3,57458.0898,0,0,15,2,1,0.982,,,,,,,,,,,,,17.3374,0.0749,17.3991,0.1923,17.0244,0.0089,17.0417,0.0299,16.961,0.0166,16.9935,0.0463,7,461842460
☄,514.46,461842445,175.773453,-84.675578,47,35,114305.62-844032.0,57566.1525,0,0,9,3,1,0.974,,,,,,,,,,,,,,,,,17.8694,0.0147,17.9215,0.0476,17.1497,0.0302,17.2299,0.0312,15,
☄,514.67,461841619,177.659654,-84.642267,32,34,115038.31-843832.1,57568.0921,0,0,8,1,1,0.433,,,,,,,,,,,,,18.9739,0.0821,18.4399,0.0681,18.5731,0.053,17.8473,0.064,18.3139,0.0731,17.4549,0.0812,12.6,461841620
☄,515.18,461798442,177.527987,-84.446243,18,35,115006.71-842646.4,57308.9794,0,3,11,1,1,0.983,,,,,,,,,17.1806,0.0235,17.3941,0.1248,16.4438,0.0081,16.4677,0.0164,15.9008,0.0061,15.9295,0.0173,15.6568,0.0102,15.7173,0.0159,15,
☄,516.43,461842460,176.306887,-84.692307,135,60,114513.65-844132.3,57497.5431,1,0,4,2,1,0.751,,,,,,,,,,,,,,,,,18.7274,0.025,18.132,0.5215,18.4131,0.0148,18.3541,0.2566,7,461842459
☄,516.8,461842447,175.498379,-84.658342,88,36,114159.61-843930.0,57701.5903,0,3,5,2,1,0.974,,,,,,,,,,,,,,,,,17.7016,0.0133,17.779,0.0382,17.5682,0.0468,17.7826,0.0962,15,
☄,517.5,461797456,176.585314,-84.406484,34,35,114620.47-842423.3,57663.0768,0,0,4,1,1,0.731,,,,,,,,,,,,,,,,,19.0573,0.0648,18.9018,0.1195,18.7547,0.0435,18.6808,0.1521,13.1,461797576
☄,517.87,461798395,177.917406,-84.602394,21,27,115140.17-843608.6,57254.142,0,0,15,3,1,0.982,,,,,,,,,,,,,17.2053,0.0144,17.2346,0.0235,16.9469,0.0083,16.9865,0.0203,16.8407,0.0077,16.863,0.0271,15,
☄,518.42,461798636,175.947491,-84.416147,48,59,114347.39-842458.1,57497.5431,0,0,4,2,1,0.846,,,,,,,,,,,,,,,,,18.8963,0.0271,19.1369,0.1325,18.3621,0.0533,18.7092,0.1526,15,
☄,519.26,461842218,177.293658,-84.673496,19,29,114910.47-844024.5,57513.4988,0,0,10,1,1,0.975,,,,,,,,,,,,,17.9678,0.0105,17.9533,0.0372,17.6828,0.0111,17.693,0.0477,17.6259,0.0109,17.6458,0.0419,15,
☄,519.39,461798433,177.189426,-84.421831,36,36,114845.46-842518.5,57497.5438,0,0,1,1,1,0.469,,,,,,,,,,,,,,,,,19.3764,0.0455,19.2413,0.1248,,,,,15,
☄,519.51,461798397,177.904142,-84.606791,81,96,115136.99-843624.4,57585.1525,0,0,7,3,1,0.828,,,,,,,,,,,,,,,,,18.7686,0.041,18.4771,0.1596,18.0198,0.0214,17.9503,0.1162,10.2,461798398
☄,519.79,461798398,177.893087,-84.60943,26,27,115134.34-843633.9,57568.0921,0,0,8,1,1,0.962,,,,,,,,,,,,,18.2697,0.0111,18.2674,0.0465,17.9549,0.0064,17.9737,0.0301,17.7995,0.0336,17.9461,0.0744,10.2,461798397
☄,519.91,461797989,177.899014,-84.495001,31,39,115135.76-842942.0,56998.8006,0,0,17,5,1,0.983,,,,,,,,,,,,,16.5233,0.0231,16.5462,0.0166,15.7231,0.0047,15.7409,0.0095,15.4082,0.0082,15.4378,0.0187,15,
☄,520.19,461798376,177.955474,-84.593866,52,40,115149.31-843537.9,57169.8471,0,3,28,1,1,0.983,18.0775,0.0141,18.283,0.1058,17.7156,0.0494,17.712,0.0633,16.6052,0.0131,16.6366,0.098,16.1272,0.0175,16.1214,0.0139,15.9146,0.0045,15.9456,0.0104,15.837,0.0118,15.8722,0.0212,15,
☄,520.19,461797578,176.439259,-84.405621,72,31,114545.42-842420.2,57313.5276,0,0,11,1,1,0.981,,,,,,,,,,,,,17.4157,0.0224,17.639,0.1471,17.1062,0.0147,17.1296,0.0176,16.9669,0.0062,17.0429,0.0352,15,
☄,520.32,461842458,176.323692,-84.693586,20,23,114517.68-844136.9,57299.0778,2,10,27,1,1,0.984,,,,,17.3925,0.0159,17.2822,0.0766,15.9148,0.0197,15.8964,0.0427,15.5036,0.0055,15.517,0.0178,15.2834,0.0049,15.2805,0.0123,15.2101,0.0043,15.2167,0.0091,7.2,461842460
☄,520.34,461800959,175.167518,-84.621306,40,33,114040.20-843716.7,57308.7883,0,7,19,2,1,0.982,,,,,,,,,17.1424,0.0615,17.2199,0.0771,16.8206,0.069,16.6682,0.1434,16.4862,0.0092,16.5423,0.0138,16.3725,0.0145,16.4124,0.0784,9,461800960
☄,521.15,461800656,175.070492,-84.501422,49,57,114016.91-843005.1,57497.5417,0,0,2,1,1,0.537,,,,,,,,,,,,,,,,,18.8085,0.0144,18.858,0.1382,18.5797,0.0363,18.7072,0.2107,6.2,461800655
☄,521.41,461797923,177.732271,-84.465917,55,39,115055.74-842757.3,57473.1064,0,0,4,1,1,0.526,,,,,,,,,,,,,19.8305,0.0127,19.9675,0.1522,19.0434,0.0241,19.1751,0.0967,18.6381,0.0405,18.8794,0.2393,15,
☄,522.43,461842416,175.927687,-84.684824,36,43,114342.64-844105.3,57607.8991,0,0,6,3,1,0.973,,,,,,,,,,,,,,,,,17.7343,0.0074,17.7756,0.0294,17.5116,0.008,17.4963,0.04,15,
☄,522.46,461798639,175.834849,-84.419708,24,28,114320.36-842510.9,57433.3205,0,4,7,1,1,0.985,,,,,,,,,17.2548,0.0153,17.3679,0.197,16.9658,0.1256,17.2209,0.2545,16.5245,0.0097,16.5515,0.0374,16.4352,0.0104,16.4981,0.0418,15,
☄,522.71,461797984,177.800222,-84.475009,27,30,115112.05-842830.0,57030.3141,2,0,10,1,1,0.98,,,,,,,,,,,,,17.9165,0.0129,17.8143,0.0352,16.9078,0.013,16.8473,0.0201,16.5092,0.0276,16.479,0.0286,7.3,461797925
☄,522.76,461798657,175.656002,-84.429504,5,52,114237.44-842546.2,57497.5431,0,0,4,2,1,0.975,,,,,,,,,,,,,,,,,17.6128,0.0171,17.6449,0.042,17.5427,0.0605,17.6606,0.1308,7.1,461798656
☄,523.39,461798412,177.830519,-84.623371,36,36,115119.32-843724.1,57448.6732,0,0,1,1,1,0.485,,,,,,,,,,,,,,,,,19.4697,0.0152,19.6634,0.1965,,,,,10.3,461798413
☄,523.39,461842464,176.096137,-84.690369,25,74,114423.07-844125.3,57663.0765,0,0,4,2,1,0.754,,,,,,,,,,,,,,,,,18.6003,0.0694,18.7403,0.0773,18.131,0.0113,18.275,0.0941,14.7,461842465
☄,523.46,461798603,176.102055,-84.409724,39,40,114424.49-842435.0,57607.8991,0,0,6,3,1,0.515,,,,,,,,,,,,,,,,,19.2198,0.0253,19.4755,0.111,18.4762,0.016,18.5973,0.097,8.6,461797595
